Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.38605,-0.11332,0.014858,0,0,0,2.2301,0.0057319,1.671E-06,2.2067E-05,0.0026997,7.0921E-05,0.0075446,0,0,0,0,0,0,package://grasp01_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://grasp01_description/meshes/base_link.STL,,base_link-1;X10-100_RMD-X10-S2 V3__step.prt-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0063049,-0.054594,-0.00091285,0,0,0,0.252,0.00064504,3.8276E-05,1.7288E-06,0.00038778,2.4992E-06,0.00061147,0,0,0,0,0,0,package://grasp01_description/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://grasp01_description/meshes/link_1.STL,,link_2-1;X8-60_RMD-X8-S2 1ú║36__step.prt-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0.38681,-0.060538,-0.10561,-0.01389,0.039152,0.010785,base_link,0,1,0,0,0,-1.57,1.57,,,0,0,,,,
link_2,0.0051023,0.0053126,-0.09964,0,0,0,0.32937,0.0010209,3.3698E-06,2.8094E-05,0.0010645,2.9268E-05,0.0004771,0,0,0,0,0,0,package://grasp01_description/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://grasp01_description/meshes/link_2.STL,,link_3.stp-1;X8-60_RMD-X8-S2 1ú║36__step.prt-2,Origin_joint_2,Axis_joint_2,joint_2,revolute,0,-0.093789,0,-0.032166,-2.6262E-05,-0.0016327,link_1,0.99871,0,0.050703,0,0,-1.57,1.57,,,0,0,,,,
link_3,0.0029333,-0.0032488,-0.060715,0,0,0,0.252,0.00059715,3.9536E-06,6.3101E-06,0.00064818,-2.585E-05,0.00039897,0,0,0,0,0,0,package://grasp01_description/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://grasp01_description/meshes/link_3.STL,,link_4-1;X8-60_RMD-X8-S2 1ú║36__step.prt-3,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.0091425,0.0094159,-0.18995,-0.00021387,-0.00020798,0.0042041,link_2,0.050641,0.049454,-0.99749,0,0,-1.57,1.57,,,0,0,,,,
link_4,0.12701,-0.0066361,0.019741,0,0,0,1.0139,0.0013164,-1.6196E-07,-2.5328E-06,0.0013338,-1.6712E-05,0.0013928,0,0,0,0,0,0,package://grasp01_description/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://grasp01_description/meshes/link_4.STL,,link_5-1;RMD-X8 Pro-H 1ú║6 V3_step.prt-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0.0049917,0.0048747,-0.098324,2.506,1.3895,2.5101,link_3,0.048116,0.99749,0.051897,0,0,-1.57,1.57,,,0,0,,,,
link_5,0.11107,-0.010307,0.011607,0,0,0,0.60833,0.00094775,0.00021054,6.5982E-05,0.0022962,-3.2388E-05,0.0022998,0,0,0,0,0,0,package://grasp01_description/meshes/link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://grasp01_description/meshes/link_5.STL,,link_6-1;X6-8(RMD-X6 1ú║8 V3).step-1/X6-8(RMD-X6 1ú║8 V3)_6.step-1,Origin_joint_5,Axis_joint_5,joint_5,revolute,0.13582,-0.0071752,0.021623,0.47438,-0.0435,0.066585,link_4,0.98605,-0.055724,0.15683,0,0,-1.57,1.57,,,0,0,,,,
ee_link,0.018277,0.00059656,0.0019381,0,0,0,0.21749,0.00017119,-5.1649E-07,5.9378E-06,0.00013701,-1.4596E-05,0.00013121,0,0,0,0,0,0,package://grasp01_description/meshes/ee_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://grasp01_description/meshes/ee_link.STL,,link_7_3-1,Origin_ee_joint,Axis_ee_joint,ee_joint,revolute,0.23695,-0.018844,0.029243,-0.01298,-0.070854,0.046424,link_5,0.13258,0.83263,-0.53772,0,0,-1.0472,1.0472,,,0,0,,,,
